id,itemnr,name,category,description,Cost Price,Price,quantity,,,,,,,,,,,,
62,,Philips - DVD Player,DVD Player,Model - 3618,2400,2640,0,,,,,,,,,,,,
63,,Philips - Hairdryer - HP 8100,Hair Dryer,Model - HP 8100,684,750,0,,,,,,,,,,,,
64,,Philips - Home Theater,Home Theater,Model - MM53535F,2492,2741,0,,,,,,,,,,,,
65,,Philips - Induction,Induction Cooker,Model - HD4929,2614,2614,1,,,,,,,,,,,,
66,,Philips - Iron - GC - 83,Iron,Model - 83,527,570,0,,,,,,,,,,,,
67,,Philips - Mixer Grinder HL - 1606,Mixer Grinder Toster,Model - HL- 1606,2090,2200,0,,,,,,,,,,,,
68,,Philips - Vacuum Cleaner,Vacnum Cleaner,Model - FE6130,2387,2625,0,,,,,,,,,,,,
69,,PolyCab - 16' Bullet P/Q,Stand Fan,Model - 16' Bullet P/Q,2100,2362.5,0,,,,,,,,,,,,
70,,PolyCab - 16' T/F,Table Fan,Model - 16' T/F,1750,1968.75,0,,,,,,,,,,,,
71,,PolyCab - 18' Farrata ,Stand Fan,Model - 18' Farrata P/Q,2350,2643.75,0,,,,,,,,,,,,
72,,PolyCab - 20' Farrata ,Stand Fan,Model - 20' Farrata P/Q,2600,2925,0,,,,,,,,,,,,
73,,PolyCab - C/F,Ceiling Fan,Model - 36' C/F,1400,1575,0,,,,,,,,,,,,
74,,Populer (Pure iT Lames),Chimney,Model - Popular - 60 (Chimney),7753,8528,0,,,,,,,,,,,,
75,,Pure it - Water Filter Classic  23L,Water Filter,"Model - Classic  ,Blue",2770,2770,2,,,,,,,,,,,,
76,,Racald - Water Heater - 3 Litre,Heater,Model - 3 liter ,3600,3960,0,,,,,,,,,,,,
77,,Remi - 16' T/F,Table Fan,Model - 16' T/F,1650,1856.25,0,,,,,,,,,,,,
78,,Samsung- 192 Litre ,Refregerator,Model - RR19J2824RX,14900,14900,0,,,,,,,,,,,,
79,,Samsung -LED-24',Television ,Model - 24J4100,14700,16170,0,,,,,,,,,,,,
80,,Shaker - Mixer,Mixer Grinder Toster,Model - Nevo,1600,1760,0,,,,,,,,,,,,
81,,Sony - DVD player,DVD Player,Model - SR760,3400,3740,0,,,,,,,,,,,,
82,,Sony - LED - 22' ,Television ,Model - 22P042C,13025,14040.4,0,,,,,,,,,,,,
83,,Sony - SA D10,Home Theater,Model - SA Q10,6060,6817.5,0,,,,,,,,,,,,
84,,Sony Camera - DSC W800,Camera,Model - DSC W800 S/L 722D,6043,6798.38,0,,,,,,,,,,,,
85,,Sony Camera - DSC W810,Camera,Model - DSC W800 S/L 780P,6508,7321.5,0,,,,,,,,,,,,
86,,Tata - Swach 16L,Water Filter,Model - Smart,1075,1182.5,0,,,,,,,,,,,,
87,,Tata Sky,Cable Recharge,"Model - 7267,261,263,266,197,197,231",600,600,0,,,,,,,,,,,,
88,,Texla - CRT - 14',Television , No Bill ,3200,3500,0,,,,,,,,,,,,
89,,Usha - 20' P/Q,Stand Fan,Model - Farrata ,2750,3093.75,0,,,,,,,,,,,,
90,,Usha - 48' C/F - Striker,Ceiling Fan,Model -Striker,1520,1520,3,,,,,,,,,,,,
91,,Videocon - LED- 20 ' ,Television ,Model -VJW20HH,9300,10230,0,,,,,,,,,,,,
92,,Videocon - LED- 24 ' ,Television ,Model -24F02,11500,12650,0,,,,,,,,,,,,
93,,Videocon - LED- 40 ' ,Television ,Model -VKL40FH,33000,36300,0,,,,,,,,,,,,
94,,Videocon - Refregerator,Refregerator,Model - VC090PSH,8000,8800,0,,,,,,,,,,,,
95,,Vinod - Tawa,Tawa,Model - Tawa,585,643,0,,,,,,,,,,,,
96,,Voltas AC - 183 LYC,Air Conditioner,Model - 183 LYC,31600,35550,0,,,,,,,,,,,,
97,,Voltas AC - 185 SY,Air Conditioner,Model - 185 SY,38700,43537.5,0,,,,,,,,,,,,
